frame number;complex0.txt;complex1.txt;complex2.txt;complex3.txt;complex4.txt;complex5.txt;complex6.txt;complex7.txt;complex8.txt;complex9.txt;simple0.txt;simple1.txt;simple2.txt;simple3.txt;simple4.txt;simple5.txt;simple6.txt;simple7.txt;simple8.txt;simple9.txt;
177;0;0.47;16.516;0;0.079;0.047;0.038;0.047;0.203;0.297;0;0;0;0;0;0;0;0;0;0;
178;0.004;0.467;16.807;0;0.071;0.056;0.047;0.047;0.203;0.297;0;0;0;0;0;0;0;0;0;0;
179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
181;0;0.35;11.116;0;0.044;0.047;0.046;0.047;0.172;0.25;0;0;0;0;0;0;0;0;0;0;
182;0;0;0;0;0;0;0;0;0;0;0;0.001;0.015;0.001;0.016;0.005;0;0.015;0.047;0.047;
183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
184;0.004;0.244;9.019;0.001;0.058;0.031;0.031;0.031;0.141;0.204;0;0;0;0.001;0;0;0;0;0;0;
185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
186;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;
187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;
189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
190;0;0.001;0;0;0;0;0;0;0;0;0;0.001;0.022;0;0.015;0.008;0.016;0.007;0.031;0.047;
191;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
192;0;0.416;10.217;0;0.049;0.047;0.033;0.047;0.171;0.25;0;0;0;0;0;0;0;0.001;0;0;
193;0;0.411;16.557;0.001;0.044;0.047;0.047;0.047;0.187;0.281;0;0.001;0;0;0;0;0;0;0;0;
194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
198;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0.02;0.007;0;0.031;0.047;
199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200;0;0;0;0;0;0.016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
201;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
202;0;0;0.001;0;0.001;0;0;0;0;0;0;0.002;0.016;0;0.016;0.009;0.007;0;0.031;0.047;
203;0;0.177;6.004;0.001;0.043;0.015;0.031;0.015;0.125;0.172;0;0.002;0.001;0;0;0.008;0;0.016;0.031;0.047;
204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
205;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
209;0;0.183;7.109;0;0.043;0.015;0.043;0.016;0.125;0.172;0;0.001;0.015;0;0.016;0.015;0;0;0.031;0.062;
210;0;0.196;7.879;0.001;0.033;0.031;0.025;0.015;0.125;0.188;0;0;0;0;0;0;0;0;0;0;
211;0;0.48;17.835;0;0.058;0.055;0.056;0.047;0.187;0.297;0;0;0;0;0;0;0;0;0;0;
212;0;0;0;0;0;0;0.001;0;0;0;0;0.002;0.013;0;0;0.009;0.016;0.016;0.031;0.047;
213;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;
214;0;0.372;12.658;0.001;0.044;0.034;0.032;0.047;0.171;0.25;0;0;0;0;0;0;0;0;0;0;
215;0;0.235;7.954;0;0.037;0.038;0.034;0.031;0.125;0.172;0;0;0;0.001;0;0;0;0;0;0;
216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
217;0;0;0;0;0;0;0;0;0;0;0;0.001;0.016;0;0.016;0.016;0.007;0;0.032;0.047;
218;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.002;0;0;0;
221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
222;0;0;0;0;0;0;0;0;0;0;0;0.001;0.016;0;0.016;0.008;0.014;0.016;0.031;0.047;
223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;
226;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;
227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
229;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;
230;0;0.425;13.159;0.002;0.077;0.047;0.04;0.031;0.172;0.25;0;0;0;0;0;0;0;0;0;0;
231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
232;0;0.108;2.669;0.001;0.018;0.016;0.03;0.016;0.094;0.125;0;0;0;0;0;0;0;0;0;0;
233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
234;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0.014;0.016;0;0;
235;0;0.276;9.764;0.001;0.05;0.031;0.034;0.031;0.156;0.219;0;0;0;0;0;0;0;0;0;0;
236;0;0;0;0;0;0;0;0;0;0;0;0.001;0.016;0;0.015;0.023;0.009;0.016;0.031;0.047;
237;0;0;0;0;0;0;0;0;0;0;0;0.001;0.018;0;0;0;0.013;0.016;0.031;0.047;
238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
239;0;0.283;9.612;0;0.059;0.031;0.034;0.031;0.141;0.219;0;0.001;0.015;0;0.015;0.016;0.008;0.016;0.016;0.046;
240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
245;0;0;0;0;0;0;0;0;0;0;0;0.001;0.016;0.001;0;0;0.008;0;0.031;0.047;
246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;
247;0;0;0;0;0;0.015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
248;0;0.433;16.287;0;0.044;0.047;0.041;0.031;0.187;0.265;0;0;0;0;0;0;0;0;0;0;
249;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0.001;0;0;0;0;0;0;
250;0;0.032;0.677;0;0;0;0.002;0.016;0.047;0.063;0;0;0;0;0;0;0;0;0;0;
251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
252;0;0;0;0;0;0;0;0;0;0;0;0.001;0.016;0;0;0.015;0.007;0;0.031;0.047;
253;0;0;0;0;0;0;0;0;0;0;0;0.002;0.016;0;0.015;0.016;0.008;0.015;0.031;0.047;
254;0;0;0;0;0;0;0;0;0;0;0;0.001;0.012;0;0;0.016;0.008;0.016;0.031;0.047;
255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
257;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0.016;0;0;0;0;
258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;
260;0;0.406;14.131;0;0.8;0.79;0.816;0.75;0.391;0.78;0;0;0;0.001;0;0;0;0;0;0;
261;0;0;0;0;0;0;0;0;0;0;0;0.002;0;0;0;0.011;0.008;0.016;0.032;0.046;
262;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0.001;0.015;0.008;0;0.015;0.031;0.047;
